name,GTIN,price,stock_quantity
Bourjois Healthy Mix Powder 06 Honey,3616301036951,2.00,69
Bourjois Healthy Mix Sorbet Blush Checks And Lips 02 Apricot,3614226912701,1.95,966
Bourjois Sculpt Light Strobing Highlighter,3052503620107,2.50,236
Bourjois So Laque Glossy Nail Polish 04 Amande Defile,3052503790428,0.20,72
Bourjois So Laque Glossy Nail Polish 06 Adora-Bleu,3052503790626,0.35,245
Essie Nail Lacquer Nail Polish 618 Reign Check,30173873,2.00,13
Essie Nail Lacquer Nail Polish 625 Sweet Not Sour,30174412,2.50,19
Essie Nail Lacquer Nail Polish 634 Birthday Wishes,30175204,1.75,119
Essie Nail Lacquer Nail Polish 683 Rainwear Don't Care,30178311,2.00,54
Essie Nail Lacquer Nail Polish 735 Roll with It!,30181632,1.50,587
Essie Nail Lacquer Nail Polish 737 Whirl N Twirl,30181656,1.50,456
Essie Nail Lacquer Nail Polish 738 Sequin Scene,30181663,1.50,582
L'Oreal Age Perfect and Illuminate Foundation 270 Amber Beige,3600523330171,3.50,132
L'Oreal Color Riche Nail Polish 960 Tweed Fuchsia,30171797,0.35,100
L'Oreal Color Riche Nail Polish 962 Lame Crimson,30141810,0.30,76
L'Oreal Le Liner Signature Eyeliner 10 Rose Latex,30176539,0.75,405
L'Oreal Paris Paradise Brow Gel Pomade Extatic 102 Warm Blonde,30143630,2.25,1146
Manhattan Bloggers Choice Nail Polish 002 Ni Hao In The Morning,3607344559125,0.20,76
Manhattan Bloggers Choice Nail Polish 003 Green & Bronx,3607344559132,0.10,1151
Max Factor Facefinity All Day Flawless Foundation 100 Sun Tan,3614225851728,2.50,84
Max Factor Facefinity All Day Flawless Foundation 95 Tawny,3614225851711,2.50,76
Max Factor Miracle Touch Foundation 097 Toasted Almond,3614227962934,3.00,96
Maybelline Color Sensational Lip Liner 540 Hollywood Red,3600530575480,1.25,384
Maybelline Color Show 60 Seconds Hi Nail Polish,4084200887944,0.25,24
Maybelline Color Show 60 Seconds Nail Polish 76 Empire Grey,30137516,0.60,503
Maybelline Color Show Neon Pastels Nail Polish 480 Electric Blue,30142824,0.75,15
Maybelline Color Tattoo 24HR Cream Eyeshadow Urbanite,3600531581480,1.00,585
Maybelline Dream Velvet Soft Matte Foundation 20 Classic Ivory,5021044109967,1.40,1200
Maybelline Dream Velvet Soft Matte Foundation 21 Nude,3600531294649,1.75,1200
Maybelline Dream Velvet Soft Matte Foundation 30 Sand,3600531294656,1.25,1200
Maybelline Dream Velvet Soft Matte Foundation 40 Fawn,3600531294663,1.40,1200
Maybelline Dream Velvet Soft Matte Foundation 90 Honey Beige,5021044109981,1.40,1056
Maybelline Dream Velvet Soft Matte Foundation 92 Caramel,5021044109134,1.50,84
Maybelline Fit Me Foundation Matte & Poreless 332 Golden Caramel,3600531395520,2.40,630
Maybelline Fit Me Foundation Matte & Poreless 358 Latte,3600531453459,1.50,36
Maybelline Line Refine Expression Kajal 36 Blue,4084200653606,0.80,1200
Maybelline New York Tattoo Eyeshadow Knockout,3600531581473,1.95,106
Maybelline Superstay 24HR Dual Ended Lipstick 840 Merlot *Boxed*,3600531457594,1.95,1200
Maybelline Superstay 24HR Foundation 03 True Ivory,3600531401931,3.00,1200
Maybelline Superstay 24HR Foundation 10 Ivory,3600531401870,3.00,1200
Maybelline Superstay 24HR Foundation 30 Sand,3600531401993,3.00,1200
Maybelline Superstay Full Coverage Concealer 10 Fair,30175532,1.60,507
Maybelline Superstay Full Coverage Concealer 15 Light,30175549,1.50,1024
Maybelline Superstay Full Coverage Concealer 20 Sand,30175563,1.60,142
Maybelline Superstay Full Coverage Concealer 45 Tan,30175600,1.60,295
Maybelline The City Mini Eyeshadow Palette 450 Graffiti Pop,3600531490805,1.50,763
Nails Inc Primrose Multivitamin Nail Polish,840090075577,1.90,14
Revlon Super Lustrous Matte Is Everything Lipstick 055 Forward Magenta,309973025097,1.25,215
Rimmel 60 Seconds Nail Polish 200 Princess Pink,3661163955827,1.00,815
Rimmel Lasting Finish Lipstick 500 Red-Y?,3614224217761,0.75,862
Rimmel London 60 Seconds Super Shine Nail Polish 101 Taupe Throw Back,3616301265184,1.00,419
Rimmel London 60 Seconds Super Shine Nail Polish 707 Tan-A-Cotta,3614228081177,1.00,96
Rimmel London 60 Seconds Super Shine Nail Polish 710 Oh My Cherry,3614228081207,1.00,711
Rimmel London 60 Seconds Super Shine Nail Polish 720 Sea In The Dark,3614228081306,1.50,813
Rimmel London BB Cream 000 Very Light Tester,,0.15,840
Rimmel London BB Cream 001 Light Tester,,0.20,1200
Rimmel London BB Cream Matte 01 Light Tester,,0.15,264
Rimmel London Lasting Finish Foundation 600 Warm Coconut,3616301236092,1.35,58
Rimmel London Lasting Finish Foundation 610 Tiramisu,3616301236115,1.35,258
Rimmel London Lasting Finish Foundation 700 Ebony,3616301236122,1.35,289
Rimmel London Lasting Radiance Medium Coverage Foundation 010 Tester,,0.20,1200
Rimmel London Lasting Radiance Medium Coverage Foundation 070 Tester,,0.15,1104
Rimmel London Lasting Radiance Medium Coverage Foundation 350 Tester,,0.15,1080
Rimmel London Lasting Radiance Medium Coverage Foundation 504 Tester,,0.15,744
Rimmel London Match Perfection Foundation 001 Tester,,0.20,131
Rimmel London Match Perfection Foundation 402 Tester,,0.20,109
Rimmel London Match Perfection Foundation 502 Tester,,0.20,216
Rimmel London Match Perfection Foundation 503 Tester,,0.20,504
Rimmel London Match Perfection Foundation 504 Tester,,0.20,264
Rimmel London Provocalips 16HR Lipstick 780 Shore Thing,3614225463723,1.20,956
Rimmel London Salon Pro Lycra By Kate Nail Polish 144 Mercury,3614220235943,0.25,1200
Rimmel London Salon Pro Lycra By Kate Nail Polish 557 Yes Sir,3607349193638,0.50,954
Rimmel London Salon Pro Lycra Nail Polish 411 Navy Seal,3607349193577,0.40,1200
Sally Hansen Miracle Gel Nail Polish 860 The Devil Is In The Details,3616302385195,1.00,84
Sally Hansen Miracle Gel Nail Polish 861 Iconic Darling!,3616302385225,1.00,142
Sally Hansen Miracle Gel Nail Polish 865 No To Conformity,3616302385188,1.00,62
Sally Hansen Miracle Gel Nail Polish 901 Gift For Blue,3616302484997,1.25,42
Sally Hansen Miracle Gel Nail Polish 902 Living In The Presents,3616302485024,1.25,50
Sally Hansen Miracle Gel Nail Polish 906 Glitter To Santa,3616302484973,1.00,185
Bourjois Air Mat Foundation Matte Finish 07 Toast,3052503155708,2.50,188
Bourjois Always Fabulous 24 Hour 2-in-1 Foundation And Concealer Stick With Blender 200 Rose Vanilla,3614227786332,1.75,321
Bourjois Healthy Mix Anti-Fatigue Concealer 51 Light,3614222985600,1.75,1200
Bourjois Healthy Mix Anti-Fatigue Concealer 54 Golden Beige,3614226471208,1.50,1200
Bourjois Healthy Mix Anti-Fatigue Concealer 55 Honey,3614226471222,1.65,530
Bourjois Healthy Mix Anti-Fatigue Concealer 56 Amber,3614226471246,1.65,494
Bourjois Khol & Contour Extra-Long Wear Eyeliner Pencil 004 Brun Dependante,3614223912131,1.50,42
Bourjois Reveal Automatic Brow Pencil 001 Blonde,3614226956309,1.25,278
Bourjois Rouge Edition Velvet Liquid Lipstick 13 Fuchsia,3052503261317,1.25,35
Bourjois Rouge Edition Velvet Liquid Lipstick 25 Berry Chic,3614224843878,1.00,143
Bourjois Rouge Edition Velvet Liquid Lipstick 27 Cafe Ole,3614224843892,1.25,169
Bourjois Rouge Edition Velvet Liquid Lipstick 36 In Mauve,3614224843984,1.25,856
Bourjois Rouge Edition Velvet Liquid Lipstick 37 Ultra Violette,3614224843991,1.25,87
Bourjois Rouge Velvet Ink Lipstick 11 Raisin Terdit,3614228410922,1.50,1200
Bourjois Rouge Velvet Ink Lipstick 14 Utaupie,3614228410953,1.50,877
Bourjois Rouge Velvet Ink Lipstick 24 Cup Of Rose,3616300771426,1.50,1169
Bourjois Sculpt Lip Duo Liner & Lipstick 01 Pink Twice,3614225688089,1.10,142
Bourjois Sculpt Lip Duo Liner & Lipstick 02 Peach Shake,3614225688096,0.80,407
